date,time,value
2017-01-30,00:00:00Z,0.0
2017-01-30,01:00:00Z,0.0
2017-01-30,02:00:00Z,0.0
2017-01-30,03:00:00Z,0.0
2017-01-30,04:00:00Z,0.0
2017-01-30,05:00:00Z,0.0
2017-01-30,06:00:00Z,0.0
2017-01-30,07:00:00Z,0.0
2017-01-30,08:00:00Z,0.0
2017-01-30,09:00:00Z,0.0
2017-01-30,10:00:00Z,0.0
2017-01-30,11:00:00Z,0.0
2017-01-30,12:00:00Z,0.0
2017-01-30,13:00:00Z,0.0
2017-01-30,14:00:00Z,0.7
2017-01-30,15:00:00Z,0.2
2017-01-30,16:00:00Z,0.2
2017-01-30,17:00:00Z,0.9
2017-01-30,18:00:00Z,0.4
2017-01-30,19:00:00Z,0.9
2017-01-30,20:00:00Z,3.4
2017-01-30,21:00:00Z,1.4
2017-01-30,22:00:00Z,1.0
2017-01-30,23:00:00Z,1.2
